"x"
"Actinomyces"
"Anaerococcus"
"Atopobium"
"Campylobacter"
"Capnocytophaga"
"Catonella"
"Corynebacterium"
"Flavobacterium"
"Fusobacterium"
"Gemella"
"Lactobacillus"
"Leptotrichia"
"Megasphaera"
"Methylobacterium"
"Neisseria"
"OD1_genera_incertae_sedis"
"Parvimonas"
"Peptoniphilus"
"Porphyromonas"
"Prevotella"
"Rothia"
"Selenomonas"
"Sneathia"
"Sphingomonas"
"SR1_genera_incertae_sedis"
"Streptococcus"
"TM7_genera_incertae_sedis"
"Treponema"
"unclassified"
"Veillonella"
"others"
